file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,leave,1,T5,1.3218505138671232e-13,1.0801772038367652,0.8287951692461952,-12.600886792312108,16.645837942949232
31730_processed.fif,preshort,leave,1,O2,1.467660323700528e-13,1.0801772038367652,0.7818498564733569,-12.619952925778579,18.679801989410528
31730_processed.fif,preshort,leave,1,F8,1.1124361391998937e-13,1.0801772038367652,1.3565528868388772,-12.322661726006318,22.066533400276125
31730_processed.fif,preshort,leave,1,T6,9.309129113346558e-14,1.0801772038367652,2.3732403330699854,-10.647638887589917,45.59678604785628
31730_processed.fif,preshort,leave,1,FZ,2.577401552008168e-13,1.0801772038367652,0.8359462373083131,-12.308814323224828,28.019901263493743
31730_processed.fif,preshort,leave,1,FP2,2.8596089623298707e-13,1.0801772038367652,-0.1206061858593569,-13.476407144483105,45.46093342823995
31730_processed.fif,preshort,leave,1,F7,1.4160297206646845e-13,1.0801772038367652,1.6376941471702422,-11.039862467998775,35.4287567385342
31730_processed.fif,preshort,leave,1,FP1,2.637433578093085e-13,1.0801772038367652,0.7842052968948505,-12.047293958981227,17.031865909892723
31730_processed.fif,preshort,leave,1,CZ,3.8657714975447295e-14,1.0801772038367652,1.222206521924886,-12.682757188234698,28.201243413172357
31730_processed.fif,preshort,leave,1,F3,1.6450559372353827e-12,1.0801772038367652,1.2255824516823928,-11.11427712731977,26.52376459369256
31730_processed.fif,preshort,leave,1,F4,2.989795481128408e-13,1.0801772038367652,0.447414861198003,-12.771401395658955,17.32330394953529
31730_processed.fif,preshort,leave,1,FCz,6.57437861478152e-14,1.0801772038367652,0.7594523568326287,-12.893086679690562,3.652744439944064
31730_processed.fif,preshort,leave,1,T4,1.0043134715575868e-13,0.98383845386563,1.112255993734211,-12.28731078955212,12.132413650592913
31730_processed.fif,preshort,leave,1,A2,2.7356759886456217e-14,0.98383845386563,1.7243149964411209,-12.11599207046604,34.76932773747847
31730_processed.fif,preshort,leave,1,C3,4.7016174872442207e-14,0.98383845386563,1.9022837391973422,-11.48840763466159,32.680599634662585
31730_processed.fif,preshort,leave,1,C4,1.039222867854647e-13,0.98383845386563,0.6146143080455013,-12.940692285360074,10.003222856077175
31730_processed.fif,preshort,leave,1,A1,4.8914478072553265e-14,0.98383845386563,1.2606772021626993,-12.508563568732269,9.59255854155091
31730_processed.fif,preshort,leave,1,T3,2.0089467330850598e-13,0.98383845386563,0.7830105907109204,-12.351081694892143,10.050583628197327
31730_processed.fif,preshort,leave,1,O1,2.1646338402525242e-13,0.98383845386563,1.59189972288611,-11.492493126225238,15.576645083173243
31730_processed.fif,preshort,leave,1,T5,1.4705768843467414e-13,0.98383845386563,1.5157749862028695,-11.848071338936327,15.406755944681091
31730_processed.fif,preshort,leave,1,O2,1.476749561700914e-13,0.98383845386563,1.7152230569183857,-11.526076397071188,19.23442142726908
31730_processed.fif,preshort,leave,1,F8,1.5915099332033624e-13,0.98383845386563,1.2197747020268184,-12.136647900432209,15.85014102417644
31730_processed.fif,preshort,leave,1,T6,8.01243422499112e-14,0.98383845386563,1.9549176167803082,-11.051154614490725,46.426609793719834
31730_processed.fif,preshort,leave,1,FZ,2.371341173397439e-13,0.98383845386563,0.9988098844057105,-11.998582735061547,20.334821768140248
31730_processed.fif,preshort,leave,1,FP2,5.82015690273513e-13,0.98383845386563,0.47172507249179385,-12.326266817130987,25.867793877245003
31730_processed.fif,preshort,leave,1,F7,1.5703000818808164e-13,0.98383845386563,1.0560839912886264,-12.121689376599331,12.17891450167387
31730_processed.fif,preshort,leave,1,FP1,3.0486115180127816e-13,0.98383845386563,0.9106443426452911,-11.694459972131375,11.855361240313487
31730_processed.fif,preshort,leave,1,CZ,7.635247693695661e-14,0.98383845386563,0.9153027634705584,-12.407992657801215,8.297829485543812
31730_processed.fif,preshort,leave,1,F3,2.210941644988243e-12,0.98383845386563,0.9465232647735398,-11.515285825844359,20.214414563979854
31730_processed.fif,preshort,leave,1,F4,2.58133992803656e-13,0.98383845386563,1.541378644179224,-11.261222175703551,20.860287071857364
31730_processed.fif,preshort,leave,1,FCz,1.0602698219090249e-13,0.98383845386563,0.8421630683941048,-12.461692771058408,8.164250282367513
31730_processed.fif,prelong,stay,29,T4,1.281483493906129e-13,0.9179634213168745,1.0597107091093556,-12.18814491443443,19.508181154008426
31730_processed.fif,prelong,stay,29,A2,4.29860568518372e-14,0.9179634213168745,1.2669231736749114,-12.465845890833613,19.937329282826248
31730_processed.fif,prelong,stay,29,C3,6.943687165351347e-14,0.9179634213168745,1.1992207841479867,-12.322972566361294,24.31026330995949
31730_processed.fif,prelong,stay,29,C4,7.256625077825234e-14,0.9179634213168745,1.3366998375595434,-12.144666801472818,21.174044535278583
31730_processed.fif,prelong,stay,29,A1,3.960011209545498e-14,0.9179634213168745,1.4241999926447635,-12.301838152305201,16.119339969680365
