file,patch_number,block,patch_position,channel,beta_power,aperiodic_offset,aperiodic_exponent,central_freq
31730_processed.fif,2,pre-stress,leave,T5,1.5615313487248766e-13,-12.041758067967864,1.2875112520532113,20.095151748025515
31730_processed.fif,2,pre-stress,leave,O2,9.322521149371651e-14,-12.584187608755705,0.8803800377618929,17.58234924474049
31730_processed.fif,2,pre-stress,leave,F8,1.2724023681656257e-13,-11.84315478774234,1.479414923072187,28.476453873872515
31730_processed.fif,2,pre-stress,leave,T6,1.0777391557727053e-13,-11.190765493730744,1.9018125569217588,38.78362183754363
31730_processed.fif,2,pre-stress,leave,FZ,2.0973026324978945e-13,-12.522217126517791,0.6672341782942051,16.59341601459436
31730_processed.fif,2,pre-stress,leave,FP2,1.8365945418050958e-13,-13.099441535757618,0.0888304535717612,3.1131264842311706
31730_processed.fif,2,pre-stress,leave,F7,1.2710715742567058e-13,-12.125172802068287,1.0773118369690444,8.574647002887579
31730_processed.fif,2,pre-stress,leave,FP1,2.202770059468785e-13,-12.85997942710738,0.3783188629823344,40.256022106877516
31730_processed.fif,2,pre-stress,leave,CZ,4.6232287704966476e-14,-11.650800581317062,1.6314961831457853,30.045546180712723
31730_processed.fif,2,pre-stress,leave,F3,1.0323440246055531e-12,-11.372316850175023,1.1482254110018602,7.670069469999519
31730_processed.fif,2,pre-stress,leave,F4,1.8338291998145286e-13,-11.737120514270321,1.1595252155641012,44.90554106622947
31730_processed.fif,2,pre-stress,leave,FCz,6.279044142078732e-14,-12.05721472194201,1.295278532454476,30.383903677288153
31730_processed.fif,3,pre-stress,early,T4,1.3875373793868732e-13,-12.217257667626514,1.0828208664474612,13.413004192994784
31730_processed.fif,3,pre-stress,early,A2,4.8953762914059114e-14,-12.817252956679868,0.9406005100716134,12.081883964813041
31730_processed.fif,3,pre-stress,early,C3,6.498259517749125e-14,-12.454901465038818,1.117634942996815,21.635128558933463
31730_processed.fif,3,pre-stress,early,C4,6.189575444180256e-14,-11.97574236849632,1.4871980536358254,10.248460885438494
31730_processed.fif,3,pre-stress,early,A1,4.841887049852206e-14,-12.16199661522852,1.5031221015318106,10.40738828430482
31730_processed.fif,3,pre-stress,early,T3,1.4659096249731922e-13,-11.838254187828198,1.3505356879263164,18.81734044911512
31730_processed.fif,3,pre-stress,early,O1,2.0749767053212028e-13,-11.438549046263361,1.7879952510073622,14.080388030429502
